date,open,high,low,close,volume
2026-02-17,258.05,266.29,255.54,263.88,58469100
2026-02-18,263.6,266.82,262.45,264.35,34203300
2026-02-19,262.6,264.48,260.05,260.58,30845300
2026-02-20,258.97,264.75,258.16,264.58,42070500
2026-02-23,263.49,269.43,263.38,266.18,37308200
2026-02-24,267.86,274.89,267.71,272.14,47014600
2026-02-25,271.78,274.94,271.05,274.23,33714300
2026-02-26,274.95,276.11,270.8,272.95,32345100
2026-02-27,272.81,272.81,262.89,264.18,72366500
2026-03-02,262.41,266.53,260.2,264.72,41827900
2026-03-03,263.48,265.56,260.13,263.75,38568900
2026-03-04,264.65,266.15,261.42,262.52,39803100
2026-03-05,260.79,261.56,257.25,260.29,49658600
2026-03-06,258.63,258.77,254.37,257.46,41120000
2026-03-09,255.69,261.15,253.68,259.88,38218500
2026-03-10,257.65,262.48,256.95,260.83,30590800
2026-03-11,261.09,262.13,259.55,260.81,26218900
2026-03-12,258.66,258.95,254.18,255.76,40794000
2026-03-13,255.48,256.33,249.52,250.12,36930000
2026-03-16,252.11,253.89,249.88,252.82,32074200
2026-03-17,252.96,255.13,252.18,254.23,32361600
2026-03-18,252.63,254.94,249.0,249.94,35757900
2026-03-19,249.4,251.83,247.3,248.96,34864100
2026-03-20,247.98,249.2,246.0,247.99,88331100
2026-03-23,253.97,254.6,250.28,251.49,40546100
2026-03-24,250.35,254.83,249.55,251.64,45152300
2026-03-25,254.1,255.0,251.6,252.62,28476700
2026-03-26,252.12,257.0,250.77,252.89,41796700
2026-03-27,253.9,255.49,248.07,248.8,47900000
2026-03-30,250.07,250.87,245.51,246.63,39446200
2026-03-31,247.91,255.48,247.1,253.79,49598100
2026-04-01,254.08,256.18,253.33,255.63,40059400
2026-04-02,254.2,256.13,250.65,255.92,31289400
2026-04-06,256.51,262.16,256.46,258.86,29329900
2026-04-07,256.16,256.2,245.7,253.5,62148000
2026-04-08,258.45,259.75,256.53,258.9,41032800
2026-04-09,259.0,261.12,256.07,260.49,28121600
2026-04-10,259.98,262.19,259.02,260.48,31291500
2026-04-13,259.73,260.18,256.66,259.2,36234700
2026-04-14,259.25,261.93,257.19,258.83,48370700
2026-04-15,258.1,265.86,257.82,265.73,31798727
